id,seen,speed,direction,
d2b2893e,1519888804689,68.05,right,
7956bca6,1519888808660,53.65,right,
5a85aefc,1519888814786,53.33,right,
84cd7d4e,1519888836595,49.05,left,
c318d16d,1519888844097,57.6,right,
d9333ea4,1519888860801,0.0,left,
a1290d42,1519888860897,0.0,right,
1b2d1a18,1519888860929,0.0,right,
326e2d15,1519888861777,0.0,left,
b7f27ac2,1519888861874,0.0,left,
9724118a,1519888899953,49.18,left,
8d2bc847,1519888920098,48.85,left,
a041ad78,1519888935361,50.92,right,
7f191254,1519888953297,62.28,right,
0facbe42,1519888960929,46.94,left,
f75fe509,1519888962498,44.94,left,
43e33275,1519888991587,52.33,right,
dcfdb46a,1519888994081,55.05,right,
b88d7d93,1519889023297,45.34,left,
b9fc76e0,1519889026065,45.06,left,
5bbd8255,1519889029554,46.81,left,
e029e2e7,1519889037664,64.29,right,
99e8566b,1519889039121,50.7,right,
ae0a0f2a,1519889040736,57.88,right,
b901a828,1519889051633,56.34,right,
1affa08d,1519889053137,56.16,right,
d63123dc,1519889064801,57.42,right,
562dae78,1519889075711,59.21,right,
a310ffb0,1519889079504,0.0,right,
9d8e01a7,1519889079536,0.0,right,
6e51f77c,1519889079573,0.0,right,
ddead40d,1519889079687,0.0,left,
e27fc387,1519889091809,57.69,right,
2ce6ce2b,1519889093041,55.05,right,
20e90e41,1519889103808,62.39,right,
8bda6b84,1519889129121,53.65,left,
4a423734,1519889139332,53.65,right,
cad08a4c,1519889145538,50.92,left,
eecd0b05,1519889166833,47.12,right,
841598be,1519889166947,45.11,right,
1f0a028a,1519889181777,0.0,right,
fb112dcc,1519889182348,34.55,right,
60cbfd4c,1519889184708,50.0,right,
8cb46232,1519889186576,53.49,right,
213b6adf,1519889188817,0.0,left,
048c7d64,1519889192642,54.88,right,
1c195642,1519889194977,58.44,right,
5680d4e1,1519889204576,46.75,left,
69f87732,1519889206449,0.0,left,
b976ec67,1519889212080,51.28,left,
2f2bdc4f,1519889221827,56.16,right,
d01af182,1519889243329,52.4,right,
aef012ee,1519889244529,0.0,right,
436fc1a2,1519889247267,51.06,right,
45bee9a7,1519889252919,56.34,right,
